2010-07-23,6
2010-02-28,4
2010-02-21,8
2010-02-20,3
2010-02-23,7
2010-02-22,3
2010-02-25,3
2010-02-24,6
2010-02-27,0
2010-02-26,5
2010-07-04,5
2010-07-05,2
2010-07-06,5
2010-07-07,2
2010-07-01,11
2010-07-02,6
2010-07-03,3
2010-07-08,4
2010-07-09,4
2010-04-09,4
2010-09-18,0
2010-04-23,4
2010-04-22,4
2010-04-21,4
2010-04-20,2
2010-04-27,4
2010-04-26,3
2010-04-25,6
2010-04-24,4
2010-04-29,3
2010-04-28,4
2010-09-13,0
2010-09-12,0
2010-03-19,5
2010-03-18,0
2010-03-17,2
2010-03-16,1
2010-03-15,3
2010-03-14,6
2010-03-13,3
2010-03-12,2
2010-03-11,3
2010-03-10,4
2010-10-28,0
2010-10-29,0
2010-09-17,0
2010-08-29,5
2010-08-28,8
2010-10-22,0
2010-10-23,0
2010-10-20,0
2010-08-24,4
2010-08-23,6
2010-08-22,2
2010-10-24,0
2010-10-25,0
2010-05-08,2
2010-05-09,5
2010-05-06,8
2010-05-07,7
2010-05-04,3
2010-05-05,5
2010-05-02,2
2010-05-03,2
2010-05-01,13
2010-11-10,0
2010-11-11,0
2010-11-12,0
2010-11-13,0
2010-11-14,0
2010-11-15,0
2010-11-16,0
2010-11-17,0
2010-11-18,0
2010-11-19,0
2010-08-16,4
2010-08-17,7
2010-08-14,10
2010-08-15,11
2010-08-12,6
2010-08-13,8
2010-08-10,5
2010-08-11,1
2010-08-18,8
2010-08-19,6
2010-01-31,2
2010-01-30,6
2010-12-15,0
2010-12-14,0
2010-12-17,0
2010-12-16,0
2010-12-11,0
2010-12-10,0
2010-12-13,0
2010-12-12,0
2010-12-19,0
2010-12-18,0
2010-10-31,0
2010-09-08,0
2010-09-09,0
2010-10-30,0
2010-09-02,5
2010-09-03,4
2010-04-10,6
2010-09-01,6
2010-09-06,1
2010-09-07,3
2010-09-04,4
2010-09-05,8
2010-03-26,3
2010-03-27,3
2010-03-24,2
2010-03-25,6
2010-03-22,6
2010-03-23,3
2010-03-20,5
2010-03-21,7
2010-03-28,5
2010-03-29,3
2010-06-25,5
2010-06-24,4
2010-06-27,4
2010-06-26,10
2010-06-21,5
2010-06-20,8
2010-06-23,0
2010-06-22,7
2010-06-29,6
2010-06-28,2
2010-02-18,8
2010-02-19,1
2010-02-14,0
2010-02-15,1
2010-02-16,3
2010-02-17,2
2010-02-10,1
2010-02-11,5
2010-02-12,2
2010-02-13,3
2010-01-02,3
2010-01-03,4
2010-01-01,3
2010-01-06,0
2010-01-07,5
2010-01-04,5
2010-01-05,6
2010-01-08,4
2010-01-09,2
2010-04-18,4
2010-07-19,6
2010-07-18,12
2010-09-11,0
2010-07-13,6
2010-07-12,6
2010-07-11,9
2010-07-10,6
2010-07-17,6
2010-07-16,5
2010-07-15,2
2010-07-14,4
2010-04-12,0
2010-05-19,3
2010-05-18,3
2010-04-13,2
2010-05-15,3
2010-05-14,4
2010-05-17,4
2010-05-16,1
2010-05-11,3
2010-05-10,2
2010-05-13,4
2010-05-12,6
2010-04-11,4
2010-04-16,2
2010-04-17,3
2010-04-14,2
2010-04-15,2
2010-09-15,0
2010-09-30,0
2010-09-14,0
2010-11-07,0
2010-11-06,0
2010-11-05,0
2010-11-04,0
2010-11-03,0
2010-11-02,0
2010-11-01,0
2010-11-09,0
2010-11-08,0
2010-08-05,3
2010-08-04,4
2010-07-20,5
2010-08-06,6
2010-08-01,6
2010-07-27,3
2010-08-03,6
2010-08-02,6
2010-09-16,0
2010-07-28,6
2010-07-29,2
2010-08-09,4
2010-08-08,9
2010-12-28,0
2010-12-29,0
2010-08-07,6
2010-12-20,0
2010-12-21,0
2010-12-22,0
2010-12-23,0
2010-12-24,0
2010-12-25,0
2010-12-26,0
2010-12-27,0
2010-09-19,0
2010-04-08,3
2010-04-01,6
2010-09-10,0
2010-04-03,3
2010-04-02,5
2010-04-05,5
2010-04-04,6
2010-04-07,3
2010-04-06,3
2010-03-31,4
2010-03-30,5
2010-06-18,5
2010-06-19,7
2010-06-10,4
2010-06-11,1
2010-06-12,2
